Ca,Tr,Ca0,Q
4.710172781,241.1369334,6.689690018,-15.05272934
4.734517488,242.55559,0.979849428,-117.639931
1,375,7.269208873,13.12007027
1.48279702,374.9680019,7.30879052,59.67111413
1.665529515,381.5726133,5.384101772,-78.86403531
1.841302673,366.0997339,7.333921183,-137.1582734
2.104444885,342.5059357,2.270876537,-18.11346467
2.057053246,338.6678065,5.955680453,-83.97637488
2.200551231,324.7024706,6.540952649,134.2779766
2.460444102,344.0236791,1.64689569,27.03720881
2.396045917,347.2434409,0.562902684,-31.50797956
2.289451724,339.7184884,0.809120406,126.8480567
2.354645314,357.9057275,3.553026528,124.7159285
2.297099726,375.5873704,6.004141902,101.7470355
2.389645995,391.2919152,1.71215795,-118.0698464
2.396740714,370.3848839,4.70519905,-92.22995635
2.371955377,354.6298852,5.633661173,-25.4322631
2.515060555,349.5309733,4.195361764,121.5476719
2.61826003,366.5575865,4.151872857,-108.8351801
2.604425311,347.6332848,1.60756385,12.55629314
2.636335882,348.7915623,4.17082856,38.22507087
2.596412443,352.9443852,3.310468105,41.61253361
2.642601577,357.7467291,3.27830002,34.42114541
2.767924731,362.6048914,5.87183477,-89.17392101
2.860432283,347.2247568,3.12903038,0.703627647
2.879012064,346.0995057,5.306669559,-68.42232529
2.943993242,332.6343393,4.383186041,34.70301502
2.956500867,338.4273987,6.768508162,-38.09622848
3.286485311,331.1749238,4.962899511,-85.7093396
3.208934467,316.4342537,3.984558802,-88.2096169
3.220350304,301.8868943,6.928681274,-18.93831503
3.516993203,298.8432521,6.311316715,-23.11769499
3.585461059,296.4041521,6.832673121,-26.43744175
3.747369038,291.9261491,2.818221522,20.0385489
3.816539154,295.668213,6.418105544,100.2817613
3.885759548,312.1052927,4.669816819,-115.3717839
3.839013584,293.0106736,4.680866251,-70.70730883
3.956595718,283.7379776,5.62815414,109.6253677
4.020494293,301.2753769,4.103137796,28.76764407
4.065396913,305.2213076,0.955474687,11.13187024
3.840203303,307.0970671,1.404307486,31.82301542
3.740284101,311.2404313,3.045552429,74.37723771
3.658512938,323.9617784,0.839738955,-108.3838647
3.672738266,305.0384277,5.288162506,4.070471738
3.724664855,306.6923147,4.501489601,95.47417264
3.80489534,320.3270839,3.914163474,86.15123526
3.793200543,333.1004309,4.071705405,118.5335354
3.796792836,350.2306197,5.168494401,-97.57588574
3.724786297,334.542508,3.051872227,101.6041514
3.643151656,350.0777085,2.951996476,-86.38174039
3.701634135,336.5854972,3.808349164,-29.78300938
3.724281532,329.5368861,4.832509487,-17.56492031
3.752155963,326.8864449,2.326455101,-24.31327648
3.736559061,322.8288378,3.433238242,111.7838578
3.679190633,338.3715321,7.357313834,34.32468036
3.843841068,344.3891162,1.082288858,64.72187118
3.56621749,352.1543683,5.250797817,90.56191475
3.734211203,367.7293318,2.932159357,-122.533317
3.526365565,346.8391432,4.782752715,-104.4403922
3.540482296,330.367447,5.816706704,81.78426143
3.658229514,341.3710802,3.360387507,123.2770948
3.676412718,361.0591118,1.716458556,122.9405236
3.393482495,380.211015,3.758427724,73.05379509
3.25655731,396.9328513,5.769741368,133.6694327
3.042035007,430.8736947,7.312945959,-127.7524756
2.764498899,432.6470222,0.611798943,12.02508847
2.018629694,457.7323366,0.737143325,43.74573568
1.30851256,486.8891579,4.244318212,46.26622484
0.900231558,510.9483428,3.589384931,-63.20237763
0.823934028,509.8192254,7.14768258,63.4081829
0.779448515,524.876943,0.544267561,-111.297852
